#{"t_start": 1721873244.311344, "env_id": "Acrobot-v1"}
r,l,t
-170.0,171,79.150417
-178.0,179,79.238438
-162.0,163,79.322963
-162.0,163,79.402212
-99.0,100,79.448961
-244.0,245,79.560788
-180.0,181,79.646029
-163.0,164,79.72747
-125.0,126,79.789061
-89.0,90,79.832276
-123.0,124,79.893651
-138.0,139,79.959317
-78.0,79,79.996712
-287.0,288,80.137398
-179.0,180,80.222086
-219.0,220,80.324018
-250.0,251,80.442432
-92.0,93,80.487445
-92.0,93,80.536083
-162.0,163,80.612287
-154.0,155,80.684837
-231.0,232,80.796665
-174.0,175,80.88008
-100.0,101,80.930951
-115.0,116,80.985882
-93.0,94,81.033902
-77.0,78,81.071887
-122.0,123,81.128138
-126.0,127,81.18757
-90.0,91,81.231064
-86.0,87,81.273784
-141.0,142,81.342084
-93.0,94,81.388201
-94.0,95,81.435416
-107.0,108,81.487478
-96.0,97,81.534531
-102.0,103,81.58118
-100.0,101,81.628629
-142.0,143,81.694223
-147.0,148,81.764157
-145.0,146,81.835516
-205.0,206,81.930896
-212.0,213,82.034588
-108.0,109,82.084709
-141.0,142,82.152274
-129.0,130,82.212348
-100.0,101,82.26277
-175.0,176,82.348004
-139.0,140,82.414162
-215.0,216,82.520939
-184.0,185,82.611026
-152.0,153,82.688827
-87.0,88,82.734916
-242.0,243,82.858691
-139.0,140,82.930954
-160.0,161,83.014516
-153.0,154,83.088443
-272.0,273,83.224038
-282.0,283,83.368926
-219.0,220,83.473534
-138.0,139,83.539612
-132.0,133,83.600583
-145.0,146,83.672606
-113.0,114,83.72596
-125.0,126,83.784321
-117.0,118,83.842798
-78.0,79,83.880887
-85.0,86,83.920397
-114.0,115,83.975298
-81.0,82,84.013614
-95.0,96,84.062284
-71.0,72,84.09856
-93.0,94,84.145719
-85.0,86,84.186823
-136.0,137,84.253664
-81.0,82,84.292121
-80.0,81,84.331045
-150.0,151,84.405668
-124.0,125,84.472293
-116.0,117,84.529629
-107.0,108,84.584078
-99.0,100,84.634819
-151.0,152,84.713092
-99.0,100,84.762141
-104.0,105,84.812481
-87.0,88,84.855442
-119.0,120,84.914197
-93.0,94,84.959913
-155.0,156,85.035342
-83.0,84,85.075131
-89.0,90,85.118599
-118.0,119,85.175068
-143.0,144,85.241622
-112.0,113,85.295545
-130.0,131,85.359541
-85.0,86,85.398941
-105.0,106,85.451506
-102.0,103,85.506987
-91.0,92,85.558244
-84.0,85,85.603554
-153.0,154,85.67949
-119.0,120,85.735209
-129.0,130,85.795092
-94.0,95,85.840216
-92.0,93,85.886176
-176.0,177,85.978125
-103.0,104,86.027728
-70.0,71,86.060336
-80.0,81,86.096215
-116.0,117,86.149245
-120.0,121,86.2066
-150.0,151,86.276849
-140.0,141,86.34748
-85.0,86,86.393414
-126.0,127,86.455471
-97.0,98,86.500975
-112.0,113,86.551737
-124.0,125,86.610901
-114.0,115,86.665394
-116.0,117,86.723915
-142.0,143,86.792194
-126.0,127,86.85284
-108.0,109,86.907487
-180.0,181,86.99469
-174.0,175,87.074902
-112.0,113,87.127528
-89.0,90,87.169571
-85.0,86,87.211838
-88.0,89,87.254112
-138.0,139,87.322543
-160.0,161,87.398002
-97.0,98,87.44329
-129.0,130,87.502294
-85.0,86,87.542137
-93.0,94,87.589091
-114.0,115,87.644578
-109.0,110,87.695982
-214.0,215,87.79742
-103.0,104,87.847382
-145.0,146,87.915594
-108.0,109,87.965478
-86.0,87,88.007052
-102.0,103,88.05531
-103.0,104,88.102131
-77.0,78,88.142376
-102.0,103,88.186105
-157.0,158,88.252542
-109.0,110,88.298563
-114.0,115,88.348416
-199.0,200,88.43424
-80.0,81,88.46913
-80.0,81,88.499883
-108.0,109,88.539693
-118.0,119,88.583092
-62.0,63,88.609212
-128.0,129,88.657343
-88.0,89,88.689845
-246.0,247,88.782295
-108.0,109,88.829622
-136.0,137,88.878931
-155.0,156,88.935259
-74.0,75,88.962749
-88.0,89,88.998521
-139.0,140,89.050621
-78.0,79,89.080198
-149.0,150,89.137113
-185.0,186,89.209638
-92.0,93,89.244066
-82.0,83,89.274385
-93.0,94,89.311988
-97.0,98,89.348082
-205.0,206,89.42378
-80.0,81,89.454811
-88.0,89,89.489655
-88.0,89,89.527252
-93.0,94,89.563255
-92.0,93,89.604997
-94.0,95,89.640055
-91.0,92,89.674252
-104.0,105,89.713079
-156.0,157,89.770585
-98.0,99,89.807871
-104.0,105,89.849461
-96.0,97,89.883654
-75.0,76,89.910797
-113.0,114,89.950976
-104.0,105,89.99618
-63.0,64,90.029104
-113.0,114,90.077877
-92.0,93,90.113842
-109.0,110,90.156599
-87.0,88,90.18766
-101.0,102,90.225272
-123.0,124,90.273971
-85.0,86,90.320107
-103.0,104,90.383408
-90.0,91,90.425833
-145.0,146,90.48858
-77.0,78,90.527587
-83.0,84,90.562948
-107.0,108,90.608307
-127.0,128,90.662186
-160.0,161,90.726669
-136.0,137,90.778553
-147.0,148,90.835035
-120.0,121,90.883714
-73.0,74,90.915068
-90.0,91,90.95143
-89.0,90,90.987207
-97.0,98,91.027615
-85.0,86,91.06552
-114.0,115,91.11563
-108.0,109,91.163287
-131.0,132,91.220949
-78.0,79,91.25583
-113.0,114,91.299655
-107.0,108,91.345323
-186.0,187,91.434186
-91.0,92,91.471691
-178.0,179,91.545385
-120.0,121,91.596675
-64.0,65,91.623423
-182.0,183,91.710748
-157.0,158,91.789652
